Round,ePrix,Country,Track,Date,raceId,seasonId
4,Mexico City ePrix,Mexico,Autódromo Hermanos Rodríguez,42826,1900-01-25,3
5,Monaco ePrix,Monaco,Circuit de Monaco,42868,1900-01-26,3
6,Paris ePrix,France,Paris Street Circuit,42875,1900-01-27,3
7,Berlin ePrix Race 1,Germany,Tempelhof Airport Street Circuit,42896,1900-01-28,3
8,Berlin ePrix Race 2,Germany,Tempelhof Airport Street Circuit,42897,1900-01-29,3
9,New York City ePrix Race 1,United States,Brooklyn Street Circuit,42931,1900-01-30,3
10,New York City ePrix Race 2,United States,Brooklyn Street Circuit,42932,1900-01-31,3
11,Montreal ePrix Race 1,Canada,Montreal Street Circuit,42945,1900-02-01,3
12,Montreal ePrix Race 2,Canada,Montreal Street Circuit,42946,1900-02-02,3
1,Hong Kong ePrix Race 1,Hong Kong,Hong Kong Central Harbourfront Circuit,43071,1900-02-03,4
2,Hong Kong ePrix Race 2,Hong Kong,Hong Kong Central Harbourfront Circuit,43072,1900-02-04,4
3,Marrakesh ePrix,Morocco,Circuit International Automobile Moulay El Hassan,43113,1900-02-05,4
4,Santiago ePrix,Chile,Santiago Street Circuit,43134,1900-02-06,4
5,Mexico City ePrix,Mexico,Autódromo Hermanos Rodríguez,43162,1900-02-07,4
6,Punta del Este ePrix,Uruguay,Punta del Este Street Circuit,43176,1900-02-08,4
7,Rome ePrix,Italy,Circuito Cittadino dell'EUR,43204,1900-02-09,4
8,Paris ePrix,France,Paris Street Circuit,43218,1900-02-10,4
9,Berlin ePrix,Germany,Tempelhof Airport Street Circuit,43239,1900-02-11,4
10,Zürich ePrix,Switzerland,Zürich Street Circuit,43261,1900-02-12,4
11,New York City ePrix Race 1,United States,Brooklyn Street Circuit,43295,1900-02-13,4
12,New York City ePrix Race 2,United States,Brooklyn Street Circuit,43296,1900-02-14,4
1,Diriyah ePrix,Saudi Arabia,Riyadh Street Circuit,43449,1900-02-15,5
2,Marrakesh ePrix,Morocco,Circuit International Automobile Moulay El Hassan,43477,1900-02-16,5
3,Santiago ePrix,Chile,Parque O'Higgins Circuit,43491,1900-02-17,5
4,Mexico City ePrix,Mexico,Autódromo Hermanos Rodríguez,43512,1900-02-18,5
5,Hong Kong ePrix,Hong Kong,Hong Kong Central Harbourfront Circuit,43534,1900-02-19,5
